epoch,train_l1,val_l1
1,0.236070653796196,0.1693765833493202
2,0.16503966947396595,0.131906520214773
3,0.11375159621238709,0.1154785555216574
4,0.0805686076482137,0.061832822739116604
5,0.06494076972206433,0.053600421235446005
6,0.05389953876535098,0.0511075587522599
7,0.0544903631011645,0.04607866812617548
8,0.04772374828656514,0.03903936528630795
9,0.04498047629992167,0.03591159412697438
10,0.04403833746910095,0.03348985206215612
11,0.04355580359697342,0.0351340311068681
12,0.03874077349901199,0.030925669376888582
13,0.04074227139353752,0.03424499189901736
14,0.042631185799837115,0.04006138089443407
15,0.03970075075825055,0.031215894847146926
16,0.03960593615969022,0.030954356275258527
17,0.03548961319029331,0.029033707094288642
18,0.034376073504487674,0.02866531157445523
19,0.037541168928146365,0.03315339994526679
20,0.03572748688360055,0.026018981130853776
